No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
116;3.608.871;3,608871;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;3,608871;3,611154;;0,002283;;0,050844;;0,048561
117;3.611.154;3,611154;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;3,611154;3,661998;;0,050844;;0,000117;;0,050727
118;3.661.998;3,661998;104,22,1,235;192,168,100,98;TCP;56;443  >  56805 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;3,661998;3,662115;;0,000117;;0,049763;;0,049646
119;3.662.115;3,662115;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;3,662115;3,711878;;0,049763;;0,019603;;0,03016
120;3.711.878;3,711878;104,22,1,235;192,168,100,98;TCP;56;443  >  56805 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;3,711878;3,731481;;0,019603;;0,016503;;0,0031
121;3.731.481;3,731481;192,168,100,98;74,125,68,91;TCP;844;[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790;;;3,731481;3,747984;;0,016503;;0,001947;;0,014556
122;3.747.984;3,747984;74,125,68,91;192,168,100,98;TCP;54;443  >  56441 [ACK] Seq=1 Ack=791 Win=1640 Len=0;;;3,747984;3,749931;;0,001947;;0;;0,001947
123;3.749.931;3,749931;74,125,68,91;192,168,100,98;TLSv1,2;93;Application Data;;;3,749931;3,749931;;0;;0,000133;;0,000133
124;3.749.931;3,749931;74,125,68,91;192,168,100,98;TLSv1,2;125;Application Data;;;3,749931;3,750064;;0,000133;;0,017049;;0,016916
125;3.750.064;3,750064;192,168,100,98;74,125,68,91;TCP;54;56441  >  443 [ACK] Seq=791 Ack=111 Win=4134 Len=0;;;3,750064;3,767113;;0,017049;;0;;0,017049
126;3.767.113;3,767113;74,125,68,91;192,168,100,98;TLSv1,2;85;Application Data;;;3,767113;3,767113;;0;;0,000198;;0,000198
127;3.767.113;3,767113;74,125,68,91;192,168,100,98;TLSv1,2;93;Application Data;;;3,767113;3,767311;;0,000198;;0,000772;;0,000574
128;3.767.311;3,767311;192,168,100,98;74,125,68,91;TCP;54;56441  >  443 [ACK] Seq=791 Ack=181 Win=4133 Len=0;;;3,767311;3,768083;;0,000772;;0,018606;;0,017834
129;3.768.083;3,768083;192,168,100,98;74,125,68,91;TLSv1,2;93;Application Data;;;3,768083;3,786689;;0,018606;;0,144441;;0,125835
130;3.786.689;3,786689;74,125,68,91;192,168,100,98;TCP;56;443  >  56441 [ACK] Seq=181 Ack=830 Win=1640 Len=0;;;3,786689;3,93113;;0,144441;;0,000135;;0,144306
131;3.931.130;3,93113;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56805 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;3,93113;3,931265;;0,000135;;0,015121;;0,014986
132;3.931.265;3,931265;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 117#1] 56805  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;3,931265;3,946386;;0,015121;;0,000211;;0,01491
133;3.946.386;3,946386;104,22,1,235;192,168,100,98;TCP;955;[TCP Out-Of-Order] 443  >  56805 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901;;;3,946386;3,946597;;0,000211;;0,001527;;0,001316
134;3.946.597;3,946597;192,168,100,98;104,22,1,235;TCP;54;56805  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;3,946597;3,948124;;0,001527;;0,049544;;0,048017
135;3.948.124;3,948124;192,168,100,98;104,22,1,235;TCP;54;56805  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;3,948124;3,997668;;0,049544;;0,042455;;0,007089
136;3.997.668;3,997668;104,22,1,235;192,168,100,98;TCP;56;443  >  56805 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;3,997668;4,040123;;0,042455;;0,050967;;0,008512
137;4.040.123;4,040123;192,168,100,98;104,22,1,235;TCP;66;56806  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;4,040123;4,09109;;0,050967;;0,000142;;0,050825
138;4.091.090;4,09109;104,22,1,235;192,168,100,98;TCP;66;443  >  56806 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;4,09109;4,091232;;0,000142;;0,001127;;0,000985
139;4.091.232;4,091232;192,168,100,98;104,22,1,235;TCP;54;56806  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;4,091232;4,092359;;0,001127;;0,052644;;0,051517
140;4.092.359;4,092359;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;4,092359;4,145003;;0,052644;;0,011309;;0,041335
141;4.145.003;4,145003;104,22,1,235;192,168,100,98;TCP;54;443  >  56806 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;4,145003;4,156312;;0,011309;;0,002074;;0,009235
142;4.156.312;4,156312;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;4,156312;4,158386;;0,002074;;0,050046;;0,047972
143;4.158.386;4,158386;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;4,158386;4,208432;;0,050046;;0,000105;;0,049941
144;4.208.432;4,208432;104,22,1,235;192,168,100,98;TCP;56;443  >  56806 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;4,208432;4,208537;;0,000105;;0,087069;;0,086964
145;4.208.537;4,208537;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;4,208537;4,295606;;0,087069;;0,22316;;0,136091
146;4.295.606;4,295606;104,22,1,235;192,168,100,98;TCP;56;443  >  56806 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;4,295606;4,518766;;0,22316;;0,000117;;0,223043
147;4.518.766;4,518766;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56806 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0;;;4,518766;4,518883;;0,000117;;0,018226;;0,018109
148;4.518.883;4,518883;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 143#1] 56806  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;4,518883;4,537109;;0,018226;;0,000188;;0,018038
